,state,year,District,Murder
476,MIZORAM,2011,AIZAWL,10
477,SIKKIM,2011,EAST,8
478,TAMIL NADU,2011,CHENNAI,168
479,DELHI UT,2011,DELHI UT TOTAL,543
480,PUDUCHERRY,2011,TOTAL,32
481,PUDUCHERRY,2011,PUDUCHERRY,32
482,ARUNACHAL PRADESH,2012,LOHIT,11
483,BIHAR,2012,PATNA,356
484,GOA,2012,NORTH GOA,28
485,MADHYA PRADESH,2012,INDORE,123
486,NAGALAND,2012,DIMAPUR,26
487,ODISHA,2012,KEONJHAR,97
488,PUNJAB,2012,CP LUDHIANA,79
489,UTTARAKHAND,2012,HARIDWAR,74
490,DAMAN & DIU,2012,TOTAL,3
491,DAMAN & DIU,2012,DAMAN,3
492,DELHI UT,2012,DELHI UT TOTAL,521
493,LAKSHADWEEP,2012,TOTAL,0
494,LAKSHADWEEP,2012,LAKSHADWEEP,0
